Start,End,Open,High,Low,Close,Volume,Market Cap,Close_Z
22/09/2024,23/09/2024,63359.99,63868.07,62476.04,63575.97,84841750994,1.2438E+12,63389.92
21/09/2024,22/09/2024,63112.9,63519.41,62823.98,63389.92,94051059382,1.24652E+12,63102.03
20/09/2024,21/09/2024,62935.88,64053.96,62400.04,63102.03,1.15934E+11,1.24877E+12,62953.98
19/09/2024,20/09/2024,61831.96,63819.92,61592,62953.98,1.27035E+11,1.23774E+12,61449.14
18/09/2024,19/09/2024,60313.98,61449.14,59216.01,61449.14,1.10044E+11,1.18817E+12,60303.5
17/09/2024,18/09/2024,58267.94,61259.99,57620,60303.5,1.01669E+11,1.17263E+12,58229.2
16/09/2024,17/09/2024,59191.96,59191.96,57549.78,58229.2,94703021875,1.15225E+12,59198.11
15/09/2024,16/09/2024,59999.98,60375.64,58855.95,59198.11,77829620369,1.18498E+12,59987.93
14/09/2024,15/09/2024,60560.04,60590.1,59530.84,59987.93,1.00482E+11,1.18555E+12,60575.47
13/09/2024,14/09/2024,58153.97,60593.91,57688.82,60575.47,1.01421E+11,1.15936E+12,58116.05
12/09/2024,13/09/2024,57371.99,58514.55,57371.99,58116.05,1.12051E+11,1.14617E+12,57364.02
11/09/2024,12/09/2024,57600.01,57960.58,55588.99,57364.02,1.08221E+11,1.12414E+12,57627.99
10/09/2024,11/09/2024,56964.02,57984.81,56487.58,57627.99,1.03704E+11,1.12812E+12,57031.98
09/09/2024,10/09/2024,54777.01,57869.99,54624.95,57031.98,95723896725,1.09991E+12,54823.96
08/09/2024,09/09/2024,54116.16,55228.47,53694.23,54823.96,77973295409,1.07388E+12,54188.32
07/09/2024,08/09/2024,53976.04,54810.03,53767.28,54188.32,1.21446E+11,1.07114E+12,53922.68
06/09/2024,07/09/2024,56209.17,56896.3,52738,53922.68,1.20787E+11,1.092E+12,56170.04
05/09/2024,06/09/2024,58006.56,58284.98,55835,56170.04,1.15814E+11,1.12193E+12,57984.05
04/09/2024,05/09/2024,57644.03,58489.96,55737.91,57984.05,1.19215E+11,1.12908E+12,57544.01
03/09/2024,04/09/2024,59105.91,59764,57544.01,57544.01,1.1084E+11,1.15751E+12,59127.62
02/09/2024,03/09/2024,57333.38,59350.72,57297.96,59127.62,1.11999E+11,1.14967E+12,57341.08
01/09/2024,02/09/2024,58972.96,59038.16,57268.97,57341.08,99808533702,1.14997E+12,58965.98
31/08/2024,01/09/2024,59115.46,59382.99,58800.05,58965.98,1.0272E+11,1.16683E+12,59158
30/08/2024,31/08/2024,59295.05,59763.02,57944,59158,1.06978E+11,1.16636E+12,59348.98
29/08/2024,30/08/2024,59076.95,61106.97,58821.98,59348.98,1.1031E+11,1.17804E+12,59034.65
28/08/2024,29/08/2024,59320.04,60162,57933.03,59034.65,1.25193E+11,1.17004E+12,59503.05
27/08/2024,28/08/2024,62828.6,63189.69,58564.03,59503.05,1.09128E+11,1.22702E+12,62866.04
26/08/2024,27/08/2024,64347.03,64374.01,62866.04,62866.04,1.01204E+11,1.25671E+12,64279.03
25/08/2024,26/08/2024,64184.99,64837.15,63792.95,64279.03,94619490855,1.26532E+12,64107.98
24/08/2024,25/08/2024,64090.69,64416.96,63625.97,64107.98,1.25882E+11,1.26441E+12,63979.97
23/08/2024,24/08/2024,60392.09,64851.37,60392.09,63979.97,1.09681E+11,1.21889E+12,60386.02
22/08/2024,23/08/2024,61167.48,61379.44,59953.14,60386.02,1.09926E+11,1.19743E+12,61109.99
21/08/2024,22/08/2024,59114.41,61813.19,58907.09,61109.99,1.09457E+11,1.18093E+12,59056.01
20/08/2024,21/08/2024,59448,61315.96,58705.68,59056.01,1.0362E+11,1.18595E+12,59562.71
19/08/2024,20/08/2024,58320.02,59562.71,57928.86,59562.71,93178855472,1.15751E+12,58525.95
18/08/2024,19/08/2024,59479.04,60212.28,58525.95,58525.95,80655928563,1.17754E+12,59420.03
17/08/2024,18/08/2024,58902.94,59669.97,58855.66,59420.03,88140111622,1.16988E+12,58902.1
16/08/2024,17/08/2024,57523.11,59806.42,57168.52,58902.1,1.06395E+11,1.15335E+12,57600
15/08/2024,16/08/2024,58731.42,59808.54,56658.81,57600,1.03562E+11,1.15232E+12,58730.93
14/08/2024,15/08/2024,60460.83,61459.95,58577.96,58730.93,1.00246E+11,1.1868E+12,60565.01
13/08/2024,14/08/2024,59455.98,61507.57,58526.98,60565.01,1.03696E+11,1.17838E+12,59342.02
12/08/2024,13/08/2024,58804.02,60469.67,57916.99,59342.02,1.00106E+11,1.16423E+12,58819.99
11/08/2024,12/08/2024,60958.03,61554.95,58439.57,58819.99,79394741807,1.19244E+12,60875.98
10/08/2024,11/08/2024,60707.54,61178.66,60262.05,60875.98,95154408737,1.19842E+12,60848.51
09/08/2024,10/08/2024,61642.59,61642.59,59699.99,60848.51,1.19381E+11,1.19805E+12,61837.93
08/08/2024,09/08/2024,55208.09,62442.19,54745.98,61837.93,1.15083E+11,1.14828E+12,55024.11
07/08/2024,08/08/2024,55931.96,57657.97,54669.95,55024.11,1.15543E+11,1.11152E+12,55982.04
06/08/2024,07/08/2024,54153.99,56949.51,54153.99,55982.04,1.8007E+11,1.10228E+12,54006
05/08/2024,06/08/2024,58282.02,58282.02,49435.77,54006,2.12196E+11,1.05411E+12,58074.85
04/08/2024,05/08/2024,60721.48,61077.99,57382,58074.85,92944193833,1.18378E+12,60760.03
03/08/2024,04/08/2024,61551.85,62193.7,59959.55,60760.03,1.27508E+11,1.20985E+12,61487.05
02/08/2024,03/08/2024,65470.03,65526.01,61377.99,61487.05,1.26678E+11,1.25966E+12,65409.83
01/08/2024,02/08/2024,64690.06,65535.99,62356.12,65409.83,1.15915E+11,1.26548E+12,64665.98
31/07/2024,01/08/2024,66095.88,66779.95,64565.99,64665.98,1.04725E+11,1.30044E+12,66244.03
30/07/2024,31/07/2024,66743.69,66988.03,65500.99,66244.03,1.1428E+11,1.30817E+12,66810.03
29/07/2024,30/07/2024,68190.01,69947.98,66694.08,66810.03,1.01384E+11,1.35183E+12,68234.91
28/07/2024,29/07/2024,67699.97,68270.69,67070.3,68234.91,1.15847E+11,1.33633E+12,68045.98
27/07/2024,28/07/2024,67865.97,69386.01,66800.05,68045.98,1.02399E+11,1.34512E+12,67914.02
26/07/2024,27/07/2024,65828.01,68200.04,65828.01,67914.02,1.13089E+11,1.32552E+12,65750.02
25/07/2024,26/07/2024,65453.96,66042.03,63509.02,65750.02,1.1109E+11,1.27297E+12,65412.03
24/07/2024,25/07/2024,65989.99,67054,65249.96,65412.03,1.07163E+11,1.30206E+12,65914.55
23/07/2024,24/07/2024,67537.99,67693.99,65528.37,65914.55,1.15158E+11,1.31224E+12,67587.97
22/07/2024,23/07/2024,68178.02,68428.05,66617.59,67587.97,1.12174E+11,1.3313E+12,68071.99
21/07/2024,22/07/2024,67102,68286.03,66038.96,68071.99,89676444049,1.32368E+12,67182.45
20/07/2024,21/07/2024,66699.54,67536.34,66263.2,67182.45,1.04554E+11,1.3157E+12,66648.03
19/07/2024,20/07/2024,63910.04,67348.04,63311.26,66648.03,1.01639E+11,1.28186E+12,63966.13
18/07/2024,19/07/2024,64159.97,65088.95,63253.12,63966.13,99977799879,1.2674E+12,64120.47
17/07/2024,18/07/2024,65076.01,66022.58,63951.49,64120.47,1.13492E+11,1.28107E+12,65119.1
